area,perimeter,circularity,eccentricity,solidity,extent,hu_moment_1,hu_moment_2,hu_moment_3,mean_b,mean_g,mean_r,mean_h,mean_s,mean_v,texture_laplacian_var,color_std_b,color_std_g,color_std_r,color_std_hsv,det_confidence,predicted_label
2103.5,183.41421353816986,0.7857536452986108,,0.9992874109263657,0.9561363636363637,0.0,0.0,0.0,248.63390663390666,241.93611793611794,234.0819000819001,107.74692874692876,15.814905814905815,248.93611793611794,78.69781632231405,8.369798494280111,9.444480519552538,7.760745106783046,16.1265673988946,0.1484307497739792,Platelets
2049.0,183.65685415267944,0.7633743098053457,,0.9927325581395349,0.9503710575139147,0.0,0.0,0.0,247.82415776499587,241.14379622021363,233.69268693508627,108.85373870172555,15.744453574363188,248.2202136400986,102.81118232416934,9.667027108455818,11.264571888752066,9.534052834233242,17.639826770328202,0.14677341282367706,Platelets
686.5,227.2964631319046,0.16698022803196538,,0.4136788189213619,0.29925893635571055,0.0,0.0,0.0,247.15687732342008,241.18810408921934,235.56802973977696,111.28475836431227,13.70260223048327,247.6899628252788,213.46599689628823,11.048655451000057,12.433358704436236,9.932337081971001,20.090241348284458,0.14479732513427734,Platelets
635.0,225.39696872234344,0.15706790357436085,,0.39799435913506737,0.35199556541019955,0.0,0.0,0.0,249.27162162162165,243.32702702702704,236.3148648648649,108.15540540540542,14.074324324324325,249.52972972972975,158.0735210249704,7.635656404114493,8.72746979366125,7.325043721526789,16.125987435862413,0.1440766304731369,Platelets
898.0,284.56854152679443,0.13935174923313406,,0.4420379030273197,0.418452935694315,0.0,0.0,0.0,247.45208131655374,240.82671829622458,233.47918683446275,109.36592449177154,15.820909970958374,247.9506292352372,154.94264128672168,10.462391876641577,11.711851113730399,9.301438048731294,18.8400738818684,0.14384591579437256,Platelets
837.0,277.5391036272049,0.13654850807094424,,0.42411958449455284,0.3974358974358974,0.0,0.0,0.0,246.88923395445136,240.55486542443066,234.3312629399586,111.61283643892341,14.78985507246377,247.50828157349898,155.90960481020625,11.223180501649008,11.71939837507945,8.495157301476254,20.72318794142565,0.1435052454471588,Platelets
1932.0,176.0,0.7837754399193544,0.0,1.0,0.9559623948540327,0.0,0.0,0.0,250.33179723502303,244.5852534562212,237.32165898617512,106.68294930875577,14.007373271889401,250.57695852534562,97.07438986142779,7.660212182896565,8.506292821346328,6.575386376748155,14.913975586652732,0.14311125874519348,Platelets
2034.5,180.0416305065155,0.788717874911129,,0.973444976076555,0.8845652173913043,0.0,0.0,0.0,247.41237113402062,240.36363636363637,233.26616682286786,109.58481724461106,15.72352389878163,247.76382380506092,97.77906899810965,9.732146401063094,11.287123860118408,9.65828568161505,17.129450188694772,0.1405762881040573,Platelets
453.5,138.5269113779068,0.2969742901922349,,0.7052877138413686,0.5061383928571429,0.0,0.0,0.0,248.86536675951717,242.11327762302693,234.02692664809658,106.67688022284122,15.799442896935933,249.0844939647168,127.69831427941547,7.83899486314242,9.120476015957257,7.73278296198968,13.869050476219707,0.13473746925592422,Platelets
691.0,261.3969683647156,0.12708281274935673,,0.3418253771951521,0.30643015521064304,0.0,0.0,0.0,249.55773955773955,243.2039312039312,235.2800982800983,106.38943488943488,15.230958230958231,249.75307125307125,154.55030132595218,7.704204972064291,9.768835986739036,9.333444763062145,13.940094240885813,0.13643914461135864,Platelets
